"Date","Price","Open","High","Low","Change %"
"Apr 04, 2017","7.3510","7.3488","7.3544","7.3247","0.05%"
"Apr 03, 2017","7.3475","7.3413","7.3571","7.3296","0.14%"
"Mar 31, 2017","7.3369","7.3567","7.3788","7.3354","-0.24%"
"Mar 30, 2017","7.3544","7.4181","7.4238","7.3517","-0.86%"
"Mar 29, 2017","7.4184","7.4379","7.4634","7.4012","-0.28%"
"Mar 28, 2017","7.4395","7.4626","7.4859","7.4286","-0.37%"
"Mar 27, 2017","7.4670","7.4335","7.4977","7.4321","0.45%"
"Mar 24, 2017","7.4337","7.4270","7.4489","7.4139","0.11%"
"Mar 23, 2017","7.4253","7.4300","7.4440","7.4169","-0.08%"
"Mar 22, 2017","7.4314","7.4444","7.4521","7.4243","-0.19%"
"Mar 21, 2017","7.4455","7.4203","7.4531","7.4065","0.36%"
"Mar 20, 2017","7.4191","7.4143","7.4455","7.4082","0.08%"
"Mar 17, 2017","7.4128","7.4261","7.4493","7.4082","-0.18%"
"Mar 16, 2017","7.4264","7.4238","7.4335","7.3857","0.05%"
"Mar 15, 2017","7.4226","7.3326","7.4281","7.3319","1.23%"
"Mar 14, 2017","7.3327","7.3662","7.3773","7.3292","-0.46%"
"Mar 13, 2017","7.3663","7.3719","7.4014","7.3636","-0.10%"
"Mar 10, 2017","7.3738","7.3121","7.3946","7.3086","0.87%"
"Mar 09, 2017","7.3101","7.2881","7.3361","7.2797","0.32%"
"Mar 08, 2017","7.2871","7.2938","7.3023","7.2801","-0.09%"
"Mar 07, 2017","7.2935","7.3011","7.3175","7.2854","-0.07%"
"Mar 06, 2017","7.2984","7.3232","7.3374","7.2942","-0.39%"
"Mar 03, 2017","7.3269","7.2393","7.3290","7.2345","1.22%"
"Mar 02, 2017","7.2389","7.2586","7.2621","7.2292","-0.27%"
"Mar 01, 2017","7.2586","7.2636","7.2816","7.2350","-0.07%"
"Feb 28, 2017","7.2640","7.2719","7.3018","7.2592","-0.14%"
"Feb 27, 2017","7.2741","7.2538","7.3052","7.2463","0.25%"
"Feb 24, 2017","7.2557","7.2671","7.2976","7.2516","-0.14%"
"Feb 23, 2017","7.2657","7.2636","7.2779","7.2503","0.08%"
"Feb 22, 2017","7.2602","7.2526","7.2725","7.2164","0.09%"
"Feb 21, 2017","7.2537","7.2986","7.3035","7.2460","-0.64%"
"Feb 20, 2017","7.3004","7.2912","7.3162","7.2823","0.17%"
"Feb 17, 2017","7.2881","7.3175","7.3344","7.2819","-0.37%"
"Feb 16, 2017","7.3152","7.2831","7.3214","7.2744","0.43%"
"Feb 15, 2017","7.2840","7.2637","7.2909","7.2306","0.27%"
"Feb 14, 2017","7.2641","7.2912","7.3053","7.2516","-0.40%"
"Feb 13, 2017","7.2930","7.3184","7.3348","7.2896","-0.36%"
"Feb 10, 2017","7.3194","7.3188","7.3385","7.2979","-0.00%"
"Feb 09, 2017","7.3195","7.3521","7.3562","7.3155","-0.45%"
"Feb 08, 2017","7.3526","7.3545","7.3677","7.3140","-0.03%"
"Feb 07, 2017","7.3545","7.3775","7.3782","7.3351","-0.31%"
"Feb 06, 2017","7.3777","7.4044","7.4181","7.3455","-0.41%"
"Feb 03, 2017","7.4082","7.4037","7.4192","7.3597","0.06%"
"Feb 02, 2017","7.4036","7.4104","7.4517","7.3994","-0.10%"
"Feb 01, 2017","7.4108","7.4322","7.4397","7.3853","-0.27%"
"Jan 31, 2017","7.4308","7.3593","7.4411","7.3517","0.97%"
"Jan 30, 2017","7.3596","7.3575","7.3926","7.3080","-0.04%"
"Jan 27, 2017","7.3627","7.3537","7.3834","7.3365","0.15%"
