"Date","Price","Open","High","Low","Change %"
"Apr 04, 2017","6.8871","6.8871","6.8871","6.8871","0.00%"
"Apr 03, 2017","6.8871","6.8871","6.8871","6.8871","0.00%"
"Mar 31, 2017","6.8871","6.8909","6.9064","6.8867","-0.03%"
"Mar 30, 2017","6.8894","6.8903","6.8974","6.8894","-0.01%"
"Mar 29, 2017","6.8900","6.8800","6.8960","6.8800","0.14%"
"Mar 28, 2017","6.8802","6.8710","6.8892","6.8707","0.11%"
"Mar 27, 2017","6.8728","6.8830","6.8830","6.8677","-0.16%"
"Mar 24, 2017","6.8837","6.8877","6.8998","6.8837","-0.03%"
"Mar 23, 2017","6.8861","6.8879","6.8949","6.8849","0.05%"
"Mar 22, 2017","6.8828","6.8873","6.8959","6.8828","-0.06%"
"Mar 21, 2017","6.8869","6.9089","6.9113","6.8869","-0.31%"
"Mar 20, 2017","6.9085","6.9049","6.9112","6.9035","0.07%"
"Mar 17, 2017","6.9034","6.8984","6.9110","6.8984","0.08%"
"Mar 16, 2017","6.8980","6.9162","6.9162","6.8910","-0.24%"
"Mar 15, 2017","6.9147","6.9106","6.9173","6.9105","-0.00%"
"Mar 14, 2017","6.9150","6.9136","6.9225","6.9131","0.01%"
"Mar 13, 2017","6.9145","6.9070","6.9146","6.9060","0.07%"
"Mar 10, 2017","6.9095","6.9147","6.9217","6.9080","-0.03%"
"Mar 09, 2017","6.9113","6.9129","6.9226","6.9085","-0.03%"
"Mar 08, 2017","6.9131","6.9009","6.9132","6.9002","0.15%"
"Mar 07, 2017","6.9025","6.8994","6.9071","6.8987","0.07%"
"Mar 06, 2017","6.8974","6.8868","6.9005","6.8868","0.00%"
"Mar 03, 2017","6.8972","6.8918","6.9079","6.8918","0.11%"
"Mar 02, 2017","6.8899","6.8802","6.8911","6.8801","0.12%"
"Mar 01, 2017","6.8819","6.8755","6.8826","6.8750","0.21%"
"Feb 28, 2017","6.8678","6.8723","6.8730","6.8624","-0.04%"
"Feb 27, 2017","6.8708","6.8795","6.8816","6.8689","0.03%"
"Feb 24, 2017","6.8690","6.8735","6.8783","6.8690","0.04%"
"Feb 23, 2017","6.8661","6.8817","6.8840","6.8646","-0.17%"
"Feb 22, 2017","6.8777","6.8795","6.8834","6.8754","-0.09%"
"Feb 21, 2017","6.8841","6.8808","6.8895","6.8800","0.08%"
"Feb 20, 2017","6.8785","6.8685","6.8826","6.8675","0.17%"
"Feb 17, 2017","6.8665","6.8550","6.8735","6.8549","0.19%"
"Feb 16, 2017","6.8537","6.8625","6.8639","6.8489","-0.25%"
"Feb 15, 2017","6.8711","6.8701","6.8778","6.8633","0.05%"
"Feb 14, 2017","6.8674","6.8776","6.8894","6.8589","-0.20%"
"Feb 13, 2017","6.8815","6.8817","6.8920","6.8724","0.04%"
"Feb 10, 2017","6.8785","6.8761","6.8826","6.8740","0.14%"
"Feb 09, 2017","6.8689","6.8680","6.8736","6.8621","-0.05%"
"Feb 08, 2017","6.8723","6.8822","6.8938","6.8703","-0.17%"
"Feb 07, 2017","6.8843","6.8625","6.8863","6.8612","0.31%"
"Feb 06, 2017","6.8630","6.8655","6.8708","6.8590","-0.10%"
"Feb 03, 2017","6.8697","6.8700","6.8795","6.8692","-0.17%"
"Feb 02, 2017","6.8816","6.8816","6.8816","6.8816","0.00%"
"Feb 01, 2017","6.8816","6.8816","6.8816","6.8816","0.00%"
"Jan 31, 2017","6.8816","6.8816","6.8816","6.8816","0.00%"
"Jan 30, 2017","6.8816","6.8816","6.8816","6.8816","0.00%"
"Jan 27, 2017","6.8816","6.8816","6.8816","6.8816","0.00%"
"Jan 26, 2017","6.8816","6.8739","6.8856","6.8734","-0.03%"
"Jan 25, 2017","6.8836","6.8582","6.8855","6.8582","0.36%"
"Jan 24, 2017","6.8590","6.8414","6.8652","6.8414","0.07%"
"Jan 23, 2017","6.8540","6.8595","6.8605","6.8360","-0.33%"
"Jan 20, 2017","6.8765","6.8616","6.8822","6.8616","0.08%"
