"Date","Price","Open","High","Low","Change %"
"Apr 17, 2018","6.2825","6.2736","6.2870","6.2735","0.10%"
"Apr 16, 2018","6.2765","6.2763","6.2874","6.2755","0.02%"
"Apr 13, 2018","6.2750","6.2896","6.2953","6.2750","-0.26%"
"Apr 12, 2018","6.2915","6.2736","6.2942","6.2735","0.36%"
"Apr 11, 2018","6.2690","6.2855","6.2911","6.2680","-0.23%"
"Apr 10, 2018","6.2832","6.3079","6.3102","6.2828","-0.38%"
"Apr 09, 2018","6.3070","6.3031","6.3203","6.2975","0.03%"
"Apr 06, 2018","6.3052","6.3052","6.3052","6.3052","0.00%"
"Apr 05, 2018","6.3052","6.3052","6.3052","6.3052","0.00%"
"Apr 04, 2018","6.3052","6.2898","6.3098","6.2851","0.24%"
"Apr 03, 2018","6.2899","6.2833","6.2915","6.2833","0.15%"
"Apr 02, 2018","6.2805","6.2693","6.2843","6.2693","0.08%"
"Mar 30, 2018","6.2753","6.2855","6.2882","6.2660","-0.23%"
"Mar 29, 2018","6.2898","6.2993","6.3063","6.2832","-0.13%"
"Mar 28, 2018","6.2979","6.2706","6.3010","6.2705","0.24%"
"Mar 27, 2018","6.2831","6.2596","6.2866","6.2460","0.15%"
"Mar 26, 2018","6.2734","6.3139","6.3208","6.2734","-0.67%"
"Mar 23, 2018","6.3160","6.3351","6.3382","6.3160","-0.30%"
"Mar 22, 2018","6.3350","6.3156","6.3361","6.3155","0.19%"
"Mar 21, 2018","6.3232","6.3364","6.3373","6.3232","-0.17%"
"Mar 20, 2018","6.3341","6.3255","6.3343","6.3246","0.03%"
"Mar 19, 2018","6.3322","6.3372","6.3397","6.3302","-0.04%"
"Mar 16, 2018","6.3350","6.3352","6.3377","6.3259","0.20%"
"Mar 15, 2018","6.3221","6.3080","6.3244","6.3071","0.06%"
"Mar 14, 2018","6.3180","6.3220","6.3261","6.3100","-0.06%"
"Mar 13, 2018","6.3216","6.3223","6.3362","6.3216","-0.13%"
"Mar 12, 2018","6.3300","6.3301","6.3352","6.3241","-0.04%"
"Mar 09, 2018","6.3326","6.3502","6.3556","6.3326","-0.15%"
"Mar 08, 2018","6.3422","6.3332","6.3423","6.3262","0.26%"
"Mar 07, 2018","6.3255","6.3269","6.3332","6.3195","0.25%"
"Mar 06, 2018","6.3098","6.3350","6.3479","6.3098","-0.63%"
